BR,US,UK,Name,Kind,Size,N,Rating,GWB,Fill0D,Fill1D,StrandN,StrandD,CuBundD,InsTh,TwistLA,BeltTh,BeltTapeTh,ScreenTh,BedTh,ArmWireN,ArmWireD,ArmWireLA,ArmTapeTh,BraidTh,JackTh,Diameter,Weight
,,,LV25TPS-1K,LV,2.5,2,1,,,,7,0.67,2.01,0.8,9,1,,0.21,,,,,,,1.8,13.25,0.18
,,,LV40TPS-1K,LV,4,2,1,,,,7,0.85,2.55,1,10,1,,0.21,,,,,,,1.8,15.13,0.25
,,,LV60TPS-1K,LV,6,2,1,,,,7,1.04,3.12,1,10,1,,0.21,,,,,,,1.8,16.27,0.3
,,,LV100TPS-1K,LV,10,2,1,,,,7,1.35,4.05,1,10,1,,0.21,,,,,,,1.8,18.13,0.42
,,,LV160TPS-1K,LV,16,2,1,,,,7,1.7,5.1,1,10,1,,0.21,,,,,,,1.8,20.23,0.57
,,,LV250TPS-1K,LV,25,2,1,,,,7,2.14,6.42,1.2,10,1,,0.21,,,,,,,1.8,23.67,0.83
,,,LV350TPS-1K,LV,35,2,1,,,,7,2.52,7.56,1.2,10,1,,0.21,,,,,,,1.8,25.95,1.07
,,,LV25TTS-1K,LV,2.5,3,1,,0.56,,7,0.67,2.01,0.8,11,1,,0.21,,,,,,,1.8,13.81,0.21
,,,LV40TTS-1K,LV,4,3,1,,0.71,,7,0.85,2.55,1,11,1,,0.21,,,,,,,1.8,15.83,0.29
,,,LV60TTS-1K,LV,6,3,1,,0.79,,7,1.04,3.12,1,11,1,,0.21,,,,,,,1.8,17.06,0.37
,,,LV100TTS-1K,LV,10,3,1,,0.94,,7,1.35,4.05,1,11,1,,0.21,,,,,,,1.8,19.06,0.52
,,,LV160TTS-1K,LV,16,3,1,,1.1,,7,1.7,5.1,1,11,1,,0.21,,,,,,,1.8,21.33,0.73
,,,LV250TTS-1K,LV,25,3,1,,1.37,,7,2.14,6.42,1.2,11,1,,0.21,,,,,,,1.8,25.03,1.09
,,,LV350TTS-1K,LV,35,3,1,,1.54,,7,2.52,7.56,1.2,11,1,,0.21,,,,,,,1.8,27.49,1.42
,,,LV25TQS-1K,LV,2.5,4,1,,1.49,,7,0.67,2.01,0.8,12,1,,0.21,,,,,,,1.8,14.74,0.25
,,,LV40TQS-1K,LV,4,4,1,,1.88,,7,0.85,2.55,1,12,1,,0.21,,,,,,,1.8,17.01,0.36
,,,LV60TQS-1K,LV,6,4,1,,2.12,,7,1.04,3.12,1,12,1,,0.21,,,,,,,1.8,18.39,0.46
,,,LV100TQS-1K,LV,10,4,1,,2.5,,7,1.35,4.05,1,12,1,,0.21,,,,,,,1.8,20.63,0.65
,,,LV160TQS-1K,LV,16,4,1,,2.94,,7,1.7,5.1,1,12,1,,0.21,,,,,,,1.8,23.17,0.92
,,,LV250TQS-1K,LV,25,4,1,,3.65,,7,2.14,6.42,1.2,12,1,,0.21,,,,,,,1.8,27.32,1.38
,,,LV350TQS-1K,LV,35,4,1,,4.12,,7,2.52,7.56,1.2,12,1,,0.21,,,,,,,1.9,30.27,1.82
,,,LV25TPSAW-1K,LV,2.5,2,1,,,,7,0.67,2.01,0.8,9,1,,0.21,1.8,27,1.6,14.23,,,1.8,20.05,0.83
,,,LV40TPSAW-1K,LV,4,2,1,,,,7,0.85,2.55,1,10,1,,0.21,1.8,30,1.6,14.32,,,1.8,21.93,0.97
