BR,US,UK,Name,Kind,Size,Rating,StrandN,StrandD,StrandA,CuBundD,Ins1Th,Ins2Th,Screen2Th,Tape2Th,Screen3Th,Tape3Th,JackTh,Diameter,Weight,EA,EI,GJ,MaxTension,MBR
#MATERIALS,,,,,,,,COPPER,,,XLPE-SCM,XLPE,XLPE-SCM,SCM-TAPE,COPPER,WB-TAPE,HDPE,,,,,,,
#6kV CuT,,,,CuT,,6kV,,,,,,,,,,,,,,,,,,
,,,16mm2 6kV CuT,CuT,16,6,7,1.734,12,4.789142857,0.7,2.55,0.7,0.8,0.2,0,0,14.68914286,0.331360787,,,,,146
,,,25mm2 6kV CuT,CuT,25,6,7,2.1828,12,6.028685714,0.7,2.55,0.7,0.8,0.2,0,0,15.92868571,0.438712776,,,,,159
,,,35mm2 6kV CuT,CuT,35,6,7,2.5704,12,7.0992,0.7,2.55,0.7,0.8,0.2,0,0,16.9992,0.547036311,,,,,169
,,,50mm2 6kV CuT,CuT,50,6,19,1.8156,12,8.35752381,0.7,2.55,0.7,0.8,0.2,0,0,18.25752381,0.685722572,,,,,182
,,,70mm2 6kV CuT,CuT,70,6,19,2.1828,12,10.04780952,0.7,2.55,0.7,0.8,0.2,0,0,19.94780952,0.909877101,,,,,199
,,,95mm2 6kV CuT,CuT,95,6,19,2.5704,12,11.832,0.7,2.55,0.7,0.8,0.2,0,0,21.732,1.184982994,,,,,217
,,,120mm2 6kV CuT,CuT,120,6,37,2.0706,12,13.34386667,0.7,2.55,0.7,0.8,0.2,0,0,23.24386667,1.444036934,,,,,232
,,,150mm2 6kV CuT,CuT,150,6,37,2.295,12,14.79,0.7,2.55,0.7,0.8,0.2,0,0,24.69,1.72202592,,,,,246
,,,185mm2 6kV CuT,CuT,185,6,37,2.5704,12,16.5648,0.7,2.55,0.7,0.8,0.2,0,0,26.4648,2.098529676,,,,,264
,,,240mm2 6kV CuT,CuT,240,6,61,2.295,12,19.01571429,0.7,2.55,0.7,0.8,0.2,0,0,28.91571429,2.678307244,,,,,289
,,,300mm2 6kV CuT,CuT,300,6,61,2.5704,12,21.2976,0.7,2.55,0.7,0.8,0.2,0,0,31.1976,3.287676359,,,,,311
,,,400mm2 6kV CuT,CuT,400,6,61,2.907,12,24.08657143,0.7,2.55,0.7,0.8,0.2,0,0,33.98657143,4.119720833,,,,,339
,,,500mm2 6kV CuT,CuT,500,6,61,3.264,12,27.04457143,0.7,2.55,0.7,0.8,0.2,0,0,36.94457143,5.107073759,,,,,369
,,,630mm2 6kV CuT,CuT,630,6,127,2.5704,12,30.7632,0.7,2.55,0.7,0.8,0.2,0,0,40.6632,6.492769724,,,,,406
,,,,,,,,,,,,,,,,,,,,,,,,
#10kV CuT,,,,CuT,,10kV,,,,,,,,,,,,,,,,,,
,,,16mm2 10kV CuT,CuT,16,10,7,1.734,12,4.789142857,0.7,3.468,0.7,0.8,0.2,0,0,16.52514286,0.378724644,,,,,165
,,,25mm2 10kV CuT,CuT,25,10,7,2.1828,12,6.028685714,0.7,3.468,0.7,0.8,0.2,0,0,17.76468571,0.489447687,,,,,177
,,,35mm2 10kV CuT,CuT,35,10,7,2.5704,12,7.0992,0.7,3.468,0.7,0.8,0.2,0,0,18.8352,0.600682587,,,,,188
,,,50mm2 10kV CuT,CuT,50,10,19,1.8156,12,8.35752381,0.7,3.468,0.7,0.8,0.2,0,0,20.09352381,0.742790979,,,,,200
,,,70mm2 10kV CuT,CuT,70,10,19,2.1828,12,10.04780952,0.7,3.468,0.7,0.8,0.2,0,0,21.78380952,0.971542402,,,,,217
,,,95mm2 10kV CuT,CuT,95,10,19,2.5704,12,11.832,0.7,3.468,0.7,0.8,0.2,0,0,23.568,1.25150057,,,,,235
,,,120mm2 10kV CuT,CuT,120,10,37,2.0706,12,13.34386667,0.7,3.468,0.7,0.8,0.2,0,0,25.07986667,1.514666175,,,,,250
,,,150mm2 10kV CuT,CuT,150,10,37,2.295,12,14.79,0.7,3.468,0.7,0.8,0.2,0,0,26.526,1.796588058,,,,,265
,,,185mm2 10kV CuT,CuT,185,10,37,2.5704,12,16.5648,0.7,3.468,0.7,0.8,0.2,0,0,28.3008,2.177918552,,,,,283
,,,240mm2 10kV CuT,CuT,240,10,61,2.295,12,19.01571429,0.7,3.468,0.7,0.8,0.2,0,0,30.75171429,2.764361614,,,,,307
,,,300mm2 10kV CuT,CuT,300,10,61,2.5704,12,21.2976,0.7,3.468,0.7,0.8,0.2,0,0,33.0336,3.379936534,,,,,330
,,,400mm2 10kV CuT,CuT,400,10,61,2.907,12,24.08657143,0.7,3.468,0.7,0.8,0.2,0,0,35.82257143,4.219565881,,,,,358
,,,500mm2 10kV CuT,CuT,500,10,61,3.264,12,27.04457143,0.7,3.468,0.7,0.8,0.2,0,0,38.78057143,5.21496337,,,,,387
,,,630mm2 10kV CuT,CuT,630,10,127,2.5704,12,30.7632,0.7,3.468,0.7,0.8,0.2,0,0,42.4992,6.610772498,,,,,424
,,,,,,,,,,,,,,,,,,,,,,,,
#15kV Cut,,,,CuT,,15kV,,,,,,,,,,,,,,,,,,
