BR,US,UK,Category,Kind,OD,ID,DP,Name,Cover,CoverColor,Braid,BraidColor,Tube,TubeColor,Carcass,CarcassColor,SKU,TXT,Density,EA,EI,GJ,VE,MBR,MaxTension
x,x,x,Nylon Hoses,LCR,4.7625,9.14,3500,3H3.5,Polyamide (PA),Black,Kevlar,Tan,BESNO P40 TLO (PA11),LightGray,,,88002006,,0.061,0.042,0.000276,0.000185,1,127,
x,x,x,Nylon Hoses,LCR,4.7625,9.27,5000,3H5,Polyamide (PA),Black,Kevlar,Tan,BESNO P40 TLO (PA11),LightGray,,,88002003,HOSE 3H5 [P40 TLO Core with Kevlar Braid],0.0551,0.034,0.000231,0.000154,16.25,127,
x,x,x,Nylon Hoses,LCR,4.7625,9.63,7500,3H7.5,Polyamide (PA),Black,Kevlar,Tan,BESNO P40 TLO (PA11),LightGray,,,88002004,HOSE 3H7.5 [P40 TLO Core with Kevlar Braid],0.0584,0.137,0.000987,0.00084,6.96,127,
x,x,x,Nylon Hoses,LCR,4.7625,10.41,10000,3H10,Polyamide (PA),Black,Kevlar,Tan,BESNO P40 TLO (PA11),LightGray,,,88002005,HOSE 3H10 [P40 TLO Core with Kevlar Braid],0.0772,0.058,0.000476,0.000322,22.64,178,
x,x,x,Nylon Hoses,LCR,6.35,11.18,5000,4H5,Polyamide (PA),Black,Kevlar,Tan,BESNO P40 TLO (PA11),LightGray,,,88002008,HOSE 4H5 [P40 TLO Core with Kevlar Braid],0.0723,0.062,0.00064,0.000423,13.89,153,
x,x,x,Nylon Hoses,LCR,6.35,11.81,7500,4H7.5,Polyamide (PA),Black,Kevlar,Tan,BESNO P40 TLO (PA11),LightGray,,,88002009,HOSE 4H7.5 [P40 TLO Core with Kevlar Braid],0.0843,0.083,0.000934,0.000687,17.26,153,
x,x,x,Nylon Hoses,LCR,6.35,12.7,10000,4H10,Polyamide (PA),Black,Kevlar,Tan,BESNO P40 TLO (PA11),LightGray,,,88002010,HOSE 4H10 [P40 TLO Core with Kevlar Braid],0.1088,0.096,0.00121,0.000812,21.6,254,
x,x,x,Nylon Hoses,LCR,6.35,14.43,12500,4H12.5,Polyamide (PA),Black,Kevlar,Tan,BESNO P40 TLO (PA11),LightGray,,,88002011,HOSE 4H12.5 [P40 TLO Core with Kevlar Braid],0.1507,0.116,0.001779,0.00123,32.3,330,
x,x,x,Nylon Hoses,LCR,6.35,14.3,15000,4X15,Polyamide (PA),Black,Kevlar,Tan,BESNO P40 TLO (PA11),LightGray,,,,HOSE 4X15 [P40 TLO Core with Kevlar Braid],0.1507,0.116,0.001779,0.00123,1,330,
x,x,x,Nylon Hoses,LCR,9.525,14.73,3000,6H3,Polyamide (PA),Black,Kevlar,Tan,BESNO P40 TLO (PA11),LightGray,,,88002013,HOSE 6H3 [P40 TLO Core with Kevlar Braid],0.1067,0.168,0.003426,0.002324,6.1,178,
x,x,x,Nylon Hoses,LCR,9.525,15.37,5000,6H5,Polyamide (PA),Black,Kevlar,Tan,BESNO P40 TLO (PA11),LightGray,,,88002014,HOSE 6H5 [P40 TLO Core with Kevlar Braid],0.1221,0.168,0.003439,0.002308,10.2,178,
x,x,x,Nylon Hoses,LCR,9.525,15.71,5000,6H5-B1,Polyamide (PA),Black,Kevlar,Tan,BESNO P40 TLO (PA11),LightGray,,,,HOSE 6H5-B1 [P40 TLO Core with Kevlar Braid],0.137,0.192,0.004054,0.003374,1,178,
x,x,x,Nylon Hoses,LCR,9.525,18.4,5000,6H5-B3,Polyamide (PA),Black,Kevlar,Tan,BESNO P40 TLO (PA11),LightGray,,,,HOSE 6H5-B3 [P40 TLO Core with Kevlar Braid],0.174,0.156,0.004194,0.003002,1,176,
x,x,x,Nylon Hoses,LCR,9.525,16.51,7500,6H7.5,Polyamide (PA),Black,Kevlar,Tan,BESNO P40 TLO (PA11),LightGray,,,88002015,HOSE 6H7.5 [P40 TLO Core with Kevlar Braid],0.1553,0.135,0.003056,0.00224,22.13,178,
x,x,x,Nylon Hoses,LCR,9.525,18.4,7500,6H7.5-B1,Polyamide (PA),Black,Kevlar,Tan,BESNO P40 TLO (PA11),LightGray,,,,HOSE 6H7.5-B1 [P40 TLO Core with Kevlar Braid],0.174,0.156,0.004194,0.003002,1,176,
x,x,x,Nylon Hoses,LCR,9.525,18.03,10000,6H10,Polyamide (PA),Black,Kevlar,Tan,BESNO P40 TLO (PA11),LightGray,,,88002016,HOSE 6H10 [P40 TLO Core with Kevlar Braid],0.1991,0.165,0.004294,0.002937,26.55,280,
