BR,US,UK,Category,Kind,ID,WT,DP,Name,Color,SKU,TXT,Density,Modulus,Poisson,Sy,Su
,,x,Super Duplex,Alleima SAF 2507,9.53,1.2,12500,"SSD 3/8"" 12K5",DarkGray,,TUBE  [Alleima SAF 2507] 9.53 x 1.20 mm @ 12.5ksi,7800,200000,0.3,710,850
,,x,Super Duplex,Alleima SAF 2507,12.7,1,7500,"SSD 1/2"" 7K5",DarkGray,88102333,TUBE  [Alleima SAF 2507] 12.70 x 1.00 mm @ 7.5ksi,7800,200000,0.3,710,850
,,x,Super Duplex,Alleima SAF 2507,12.7,1.19,10000,"SSD 1/2"" 10K",DarkGray,12345678,TUBE  [Alleima SAF 2507] 12.70 x 1.19 mm @ 10ksi,7800,200000,0.3,710,850
,,x,Super Duplex,Alleima SAF 2507,15.88,1,5000,"SSD 5/8"" 5K",DarkGray,,TUBE  [Alleima SAF 2507] 15.88 x 1.00 mm @ 5ksi,7800,200000,0.3,710,850
,,x,Super Duplex,Alleima SAF 2507,15.88,1.04,7500,"SSD 5/8"" 7K5",DarkGray,,TUBE  [Alleima SAF 2507] 15.88 x 1.00 mm @ 7.5ksi,7800,200000,0.3,710,850
,,x,Super Duplex,Alleima SAF 2507,15.88,1.49,10000,"SSD 5/8"" 10K",DarkGray,,TUBE  [Alleima SAF 2507] 15.88 x 1.49 mm @ 10ksi,7800,200000,0.3,710,850
,,x,Super Duplex,Alleima SAF 2507,19.05,1.1,5000,"SSD 3/4"" 5K",DarkGray,88122398,TUBE  [Alleima SAF 2507] 19.05 x 1.10 mm @ 5ksi,7800,200000,0.3,690,850
,,x,Super Duplex,Alleima SAF 2507,19.05,1.29,7500,"SSD 3/4"" 7K5",DarkGray,12345678,TUBE  [Alleima SAF 2507] 19.05 x 1.29 mm @ 7.5ksi,7800,200000,0.3,690,850
,,x,Super Duplex,Alleima SAF 2507,19.05,1.85,10000,"SSD 3/4"" 10K",DarkGray,88195225,TUBE  [Alleima SAF 2507] 19.05 x 1.88 mm @ 10ksi,7800,200000,0.3,690,850
,,x,Super Duplex,Alleima SAF 2507,25.4,1.3,5000,"SSD 1"" 5K",DarkGray,88120856,TUBE  [Alleima SAF 2507] 25.40 x 1.30 mm @ 5ksi,7800,200000,0.3,690,850
,,x,Super Duplex,Alleima SAF 2507,25.4,1.72,7500,"SSD 1"" 7K5",DarkGray,88138906,TUBE  [Alleima SAF 2507] 25.40 x 1.75 mm @ 7.5ksi,7800,200000,0.3,690,850
,,x,Super Duplex,Alleima SAF 2507,25.4,2.46,10000,"SSD 1"" 10K",DarkGray,88199043,TUBE  [Alleima SAF 2507] 25.40 x 2.66 mm @ 10ksi,7800,200000,0.3,690,850
,,x,Super Duplex,Alleima SAF 2507,31.75,1.39,5000,"SSD 1 1/4"" 5K",DarkGray,88125213,TUBE  [Alleima SAF 2507] 31.75 x 1.39 mm @ 5ksi,7800,200000,0.3,670,850
,,x,Super Duplex,Alleima SAF 2507,31.75,2.23,7500,"SSD 1 1/4"" 7K5",DarkGray,,TUBE  [Alleima SAF 2507] 31.75 x 2.23 mm @ 7.5ksi,7800,200000,0.3,670,850
,,x,Super Duplex,Alleima SAF 2507,31.75,3.19,10000,"SSD 1 1/4"" 10K",DarkGray,,TUBE  [Alleima SAF 2507] 31.75 x 3.19 mm @ 10ksi,7800,200000,0.3,670,850
,,x,Super Duplex,Alleima SAF 2507,38.1,2,5000,"SSD 1 1/2"" 5K",DarkGray,,TUBE  [Alleima SAF 2507] 38.10 x 2.00 mm @ 5ksi,7800,200000,0.3,670,850
